,Country,Year,Continent,life_expect,Population,CO2_emiss,health_spend,internet_usage,open_defecation,drinking_water_services,adult_obesity,beer_consumption,Population category
43,Angola,2011,Africa,56.33,24220660,0.985522312,2.64560795,4.7,27.76785432,51.17483374,5.3,4.43,High Population
44,Angola,2012,Africa,57.236,25107925,0.950695879,2.39574957,7.7,26.46206917,51.9685411,5.6,4.59,High Population
45,Angola,2013,Africa,58.054,26015786,1.036293852,2.73282766,13.0,25.15396967,52.75734684,5.9,4.46,High Population
46,Angola,2014,Africa,58.776,26941773,1.099779111,2.43412852,21.4,23.84308961,53.5415069,6.2,4.5,High Population
47,Angola,2015,Africa,59.398,27884380,1.13504405,2.60579491,22.0,22.53427135,54.31692835,6.5,3.25,High Population
48,Argentina,2000,South America,73.576,36870796,3.587392038,8.2200098,7.038683086,2.293,96.29467974,20.5,1.79,High Population
49,Argentina,2001,South America,73.755,37275644,3.360371185,8.37179756,9.780807285,2.149,96.53175832,20.9,1.9,High Population
50,Argentina,2002,South America,73.932,37681743,3.117424829,7.3933115,10.88212438,2.119,96.76268593,21.4,2.08,High Population
51,Argentina,2003,South America,74.107,38087866,3.351723713,6.89451599,11.91369655,2.027,96.98789954,21.8,2.03,High Population
52,Argentina,2004,South America,74.28,38491970,3.672973996,7.22868299,16.03668411,1.983,97.20809699,22.3,2.04,High Population
53,Argentina,2005,South America,74.451,38892924,3.753639235,7.61078882,17.72058337,1.978,97.42319597,22.8,2.42,High Population
54,Argentina,2006,South America,74.62,39289876,3.94249129,7.64032841,20.9272021,1.976227394,97.63347995,23.2,2.57,High Population
55,Argentina,2007,South America,74.787,39684303,4.102629636,7.83455086,25.94663294,1.925728699,97.83887029,23.7,2.75,High Population
56,Argentina,2008,South America,74.952,40080159,4.172388531,8.18266869,28.11262348,1.875211469,98.03963014,24.2,3.16,High Population
57,Argentina,2009,South America,75.116,40482786,3.867569967,9.45598793,34.0,1.824743276,98.23571573,24.7,3.23,High Population
58,Argentina,2010,South America,75.278,40788453,4.099689714,9.44546986,45.0,1.774327746,98.42725533,25.3,3.32,High Population
59,Argentina,2011,South America,75.439,41261490,4.280989353,9.41821575,51.0,1.724886697,98.61329285,25.8,3.5,High Population
60,Argentina,2012,South America,75.598,41733271,4.264223782,9.82728195,55.8,1.675980846,98.79495003,26.3,3.29,High Population
61,Argentina,2013,South America,75.756,42202935,4.342115069,9.78097343,59.9,1.627158149,98.85206691,26.9,3.35,High Population
62,Argentina,2014,South America,75.913,42669500,4.209095633,9.67129135,64.7,1.578222119,98.90931952,27.4,3.37,High Population
63,Argentina,2015,South America,76.068,43131966,4.301913876,10.22933865,68.04306411,1.549,98.96658815,28.0,3.39,High Population
64,Armenia,2000,Asia,71.409,3069597,1.159761363,4.19580364,1.300470022,0.075707442,95.22086305,14.4,0.18443,High Population
65,Armenia,2001,Asia,71.8,3050686,1.180062452,4.64562702,1.631094667,0.075540822,95.49284638,14.6,0.23541,High Population
66,Armenia,2002,Asia,72.112,3033976,1.028353516,7.61359835,1.960405046,0.075452466,95.78067376,14.9,0.1667,High Population
67,Armenia,2003,Asia,72.348,3017938,1.159732241,7.17937517,4.575217225,0.075393764,96.07533883,15.1,0.16786,High Population
68,Armenia,2004,Asia,72.513,3000715,1.25303469,6.05508518,4.899008571,0.069702155,96.3722248,15.4,0.21848,High Population
69,Armenia,2005,Asia,72.626,2981262,1.496010763,5.86188269,5.252983352,0.064025825,96.67127128,15.7,0.27547,High Population
70,Armenia,2006,Asia,72.716,2958301,1.51776299,5.85007095,5.631787777,0.058365731,96.97262891,16.0,0.36122,High Population
71,Armenia,2007,Asia,72.815,2932615,1.773161431,5.49814558,6.021253397,0.052721077,97.27617604,16.3,0.38343,High Population
72,Armenia,2008,Asia,72.946,2907615,1.956930356,6.6397624,6.21,0.047092496,97.58203679,16.7,0.41888,High Population
73,Armenia,2009,Asia,73.118,2888094,1.561583601,8.44377995,15.3,0.041479516,97.89011617,17.0,0.32738,High Population
74,Armenia,2010,Asia,73.331,2877314,1.508351244,9.23539066,25.0,0.035882412,98.2004766,17.5,0.4,High Population
75,Armenia,2011,Asia,73.572,2876536,1.71734338,9.37587833,32.0,0.030301184,98.51312626,17.9,0.34,High Population
76,Armenia,2012,Asia,73.82,2884239,1.983192027,9.134552,37.5,0.024735834,98.82807295,18.5,0.25,High Population
77,Armenia,2013,Asia,74.056,2897593,1.89812717,10.32344532,41.9,0.019181538,99.14571586,19.0,0.43,High Population
78,Armenia,2014,Asia,74.273,2912403,1.881607737,10.17827034,54.62280586,0.013632583,99.44055835,19.6,0.52,High Population
79,Armenia,2015,Asia,74.467,2925559,1.825292244,10.11763382,59.10083377,0.011358461,99.5525667,20.2,0.49,High Population
80,Australia,2000,Oceania,79.23414634,19153000,17.7230721,7.61383343,46.75611561,0.0,99.71229832,21.0,5.07,High Population
81,Australia,2001,Oceania,79.63414634,19413000,17.80456395,7.69622898,52.68926643,0.0,99.71124501,21.7,4.8,High Population
82,Australia,2002,Oceania,79.93658537,19651400,17.9819247,7.89332151,60.564,0.0,99.71219332,22.3,4.97,High Population
83,Australia,2003,Oceania,80.23902439,19895400,17.72168373,7.90449524,62.757,0.0,99.73436091,22.9,4.96,High Population
84,Australia,2004,Oceania,80.4902439,20127400,18.17472687,8.10948753,62.814,0.0,99.75634373,23.5,4.57,High Population
85,Australia,2005,Oceania,80.84146341,20394800,18.14629201,7.99008226,63.0,0.0,99.77814769,24.0,4.62,High Population
86,Australia,2006,Oceania,81.04146341,20697900,18.14145349,7.98943853,66.0,0.0,99.79977738,24.6,4.63,High Population
87,Australia,2007,Oceania,81.29268293,20827600,18.52109701,8.06755352,69.45,0.0,99.82125589,25.1,4.63,High Population
88,Australia,2008,Oceania,81.39512195,21249200,18.30374802,8.25585651,71.67,0.0,99.84255603,25.7,4.69,High Population
89,Australia,2009,Oceania,81.54390244,21691700,18.22309955,8.56316471,74.25,0.0,99.86367093,26.2,4.68,High Population
90,Australia,2010,Oceania,81.69512195,22031750,17.59006927,8.4308424,76.0,0.0,99.88315015,26.7,4.51,High Population
91,Australia,2011,Oceania,81.89512195,22340024,17.29541584,8.54153824,79.48769771,0.0,99.89196863,27.3,4.31,High Population
92,Australia,2012,Oceania,82.04634146,22733465,17.02204223,8.67564774,79.0,0.0,99.90076728,27.9,4.14,High Population
93,Australia,2013,Oceania,82.14878049,23128129,16.44231571,8.76116371,83.45349717,0.0,99.90958842,28.5,4.04,High Population
94,Australia,2014,Oceania,82.3,23475686,15.83042152,9.03597069,84.0,0.0,99.9614791,29.1,4.02,High Population
95,Australia,2015,Oceania,82.4,23815995,15.863288,9.32758904,84.56051491,0.0,99.97000567,29.8,3.76,High Population
96,Austria,2000,Europe,78.12682927,8011566,7.929785513,9.20371437,33.73013295,0.0,100.0,15.0,6.8532,High Population
97,Austria,2001,Europe,78.57560976,8042293,8.444109161,9.26942921,39.18545018,0.0,100.0,15.4,6.59497,High Population
98,Austria,2002,Europe,78.67804878,8081957,8.583317475,9.3947649,36.56,0.0,100.000003,15.8,6.58281,High Population
99,Austria,2003,Europe,78.63170732,8121423,9.168343908,9.5472393,42.7,0.0,100.000003,16.2,6.69314,High Population
100,Austria,2004,Europe,79.1804878,8171966,9.2756141,9.70939827,54.28,0.0,100.000003,16.6,6.68129,High Population
101,Austria,2005,Europe,79.33170732,8227829,9.26611356,9.62702942,58.0,0.0,99.99999704,17.0,6.42642,High Population
102,Austria,2006,Europe,79.8804878,8268641,8.961569195,9.5311327,63.6,0.0,100.0000029,17.5,6.41038,High Population
103,Austria,2007,Europe,80.1804878,8295487,8.587801761,9.53209686,69.37,0.0,99.99999706,17.9,6.39019,High Population
104,Austria,2008,Europe,80.43170732,8321496,8.49967402,9.72564602,72.87,0.0,100.0,18.3,6.36804,High Population
105,Austria,2009,Europe,80.33170732,8343323,7.721143982,10.22582531,73.45,0.0,100.0,18.7,6.11278,High Population
106,Austria,2010,Europe,80.5804878,8363404,8.365014901,10.22101879,75.17,0.0,100.0000029,19.2,6.1,High Population
107,Austria,2011,Europe,80.98292683,8391643,8.135474381,10.02613258,78.7399931,0.0,100.0000029,19.6,6.1,High Population
108,Austria,2012,Europe,80.93658537,8429991,7.723614487,10.19915581,80.02999392,0.0,100.0000029,20.1,6.3,High Population
109,Austria,2013,Europe,81.13658537,8479823,7.753699576,10.28574944,80.6188,0.0,100.0000029,20.5,6.1,High Population
110,Austria,2014,Europe,81.4902439,8546356,7.260404228,10.36809254,80.99582496,0.0,100.0000028,21.0,6.2,High Population
111,Austria,2015,Europe,81.1902439,8642699,7.317158873,10.36746693,83.94014193,0.0,100.0,21.5,6.1,High Population
112,Bahrain,2000,Asia,74.44,664610,23.8937121,3.56132603,6.153732546,0.0,99.91008053,21.2,0.53845,High Population
113,Bahrain,2001,Asia,74.635,697550,23.49652355,3.68104196,15.03863425,0.0,99.91751872,21.5,0.53557,High Population
114,Bahrain,2002,Asia,74.822,735140,23.42410876,3.85486555,18.05072089,0.0,99.92495691,21.7,0.53654,High Population
115,Bahrain,2003,Asia,74.999,778708,23.03816133,3.98856878,21.55494499,0.0,99.9323951,21.9,0.52568,High Population
116,Bahrain,2004,Asia,75.167,829846,21.60641891,3.47338176,21.45868051,0.0,99.93983329,22.1,0.52948,High Population
117,Bahrain,2005,Asia,75.326,889157,23.26923202,3.17561626,21.30373351,0.0,99.94727148,22.5,0.52709,High Population
118,Bahrain,2006,Asia,75.478,958423,23.46563028,3.06248927,28.24395243,0.0,99.95470968,22.9,0.50684,High Population
119,Bahrain,2007,Asia,75.625,1035924,22.20240095,3.30373311,32.91,0.0,99.96214787,23.4,0.48679,High Population
120,Bahrain,2008,Asia,75.77,1114645,22.21335064,3.28510404,51.95,0.0,99.96958606,23.9,0.46918,High Population
121,Bahrain,2009,Asia,75.913,1185075,20.8594387,4.05684614,53.0,0.0,99.97702425,24.5,0.46419,High Population
122,Bahrain,2010,Asia,76.057,1240864,20.92896507,3.84291482,55.0,0.0,99.98446244,25.0,0.47,High Population
123,Bahrain,2011,Asia,76.2,1278153,20.35750059,3.57691312,76.9999665,0.0,99.99190064,25.6,0.34,High Population
124,Bahrain,2012,Asia,76.342,1299942,20.90093256,4.10642147,88.0,0.0,99.99933883,26.2,0.36,High Population
125,Bahrain,2013,Asia,76.484,1315029,21.93867997,4.30853891,90.0000397,0.0,100.0,26.8,0.37,High Population
126,Bahrain,2014,Asia,76.624,1336073,22.66343283,4.40681839,90.50313348,0.0,100.0,27.4,0.38,High Population
127,Bahrain,2015,Asia,76.762,1371853,22.29101801,4.9869976,93.4783008,0.0,100.0,28.1,0.39,High Population
128,Bangladesh,2000,Asia,65.447,127657862,0.169593942,2.07144356,0.071039423,16.77013429,94.73628029,1.1,0.00148,High Population
129,Bangladesh,2001,Asia,65.956,130088709,0.198172464,2.06375051,0.129807974,15.77866165,94.90442754,1.2,0.00147,High Population
130,Bangladesh,2002,Asia,66.43,132478077,0.207053129,2.25972915,0.139920289,14.77443294,95.07781496,1.3,0.00109,High Population
131,Bangladesh,2003,Asia,66.886,134791598,0.212401957,2.30958843,0.163877665,13.77956095,95.24974068,1.4,0.00065,High Population
132,Bangladesh,2004,Asia,67.331,136986429,0.222868797,2.33950281,0.199036334,12.79449404,95.42010696,1.5,0.00073,High Population
133,Bangladesh,2005,Asia,67.773,139035505,0.235263641,2.41363597,0.241637326,11.81975742,95.59186057,1.6,0.00012,High Population
134,Bangladesh,2006,Asia,68.213,140921154,0.254752395,2.48439622,1.0,10.85529088,95.76021655,1.7,0.00101,High Population
135,Bangladesh,2007,Asia,68.648,142660381,0.266296791,2.55897784,1.8,9.901515171,95.92502197,1.8,0.00092,High Population
136,Bangladesh,2008,Asia,69.072,144304164,0.288141386,2.48848343,2.5,8.958818692,96.0861324,1.9,0.00089,High Population
137,Bangladesh,2009,Asia,69.485,145924795,0.306664813,2.56097794,3.1,8.027558194,96.24343833,2.1,0.00151,High Population
138,Bangladesh,2010,Asia,69.881,147575433,0.342739986,2.68101048,3.7,7.107841592,96.39688709,2.2,0.0,High Population
139,Bangladesh,2011,Asia,70.256,149273134,0.364566595,2.76118398,4.5,6.200095368,96.54632933,2.4,0.0,High Population
140,Bangladesh,2012,Asia,70.606,151005733,0.384025166,2.74823475,5.0,5.30484137,96.69158904,2.6,0.0,High Population
141,Bangladesh,2013,Asia,70.93,152761413,0.396697028,2.65446854,6.63,4.422388071,96.83255493,2.7,0.0,High Population
142,Bangladesh,2014,Asia,71.231,154517385,0.413092687,2.65588379,11.9,3.552648541,96.96925348,2.9,0.0,High Population
143,Bangladesh,2015,Asia,71.514,156256287,0.461997426,2.63947296,12.9,2.695839017,97.10160247,3.1,0.0,High Population
144,Belarus,2000,Europe,68.91219512,9979610,5.304816521,5.2760601,1.860398126,0.0,99.27228634,19.9,1.18575,High Population
145,Belarus,2001,Europe,68.50731707,9928549,5.225335545,5.70827103,4.300616022,0.0,99.27585121,20.2,1.15,High Population
146,Belarus,2002,Europe,68.05609756,9865548,5.254649833,5.62329483,8.950971315,0.0,99.27938665,20.6,2.73,High Population
147,Belarus,2003,Europe,68.55365854,9796749,5.379335611,5.76984167,11.407,0.0,99.28288538,20.9,3.2,High Population
148,Belarus,2004,Europe,68.95609756,9730146,5.759420354,5.73709631,13.784,0.0,99.06604793,21.3,1.3344,High Population
149,Belarus,2005,Europe,68.85121951,9663915,5.875465459,6.07036781,14.314,0.0,98.81829548,21.7,1.55644,High Population
150,Belarus,2006,Europe,69.40487805,9604924,6.15517613,5.57381344,16.2,0.0,98.56788355,22.1,1.95326,High Population
151,Belarus,2007,Europe,70.20731707,9560953,6.029733806,5.69203281,19.7,0.0,98.31485789,22.4,2.28644,High Population
152,Belarus,2008,Europe,70.45609756,9527985,6.352864617,5.29415369,23.0,0.0,98.0592468,22.8,2.45578,High Population
153,Belarus,2009,Europe,70.40731707,9504583,6.03919199,5.39037848,27.43,0.0,97.80112807,23.3,2.33006,High Population
154,Belarus,2010,Europe,70.40487805,9483836,6.50264283,5.65693998,31.8,0.0,97.53976199,23.7,2.37,High Population
155,Belarus,2011,Europe,70.55365854,9461643,6.18814293,4.87438536,39.64889566,0.0,97.27530465,24.1,2.3,High Population
156,Belarus,2012,Europe,71.96585366,9446836,6.344981391,5.245327,46.91,0.0,97.00804146,24.6,2.19,High Population
157,Belarus,2013,Europe,72.47073171,9443211,6.352712195,5.69559479,54.17,0.0,96.73802951,25.1,2.36,High Population
158,Belarus,2014,Europe,72.97073171,9448515,6.29728587,5.38793373,59.02,0.0,96.46534969,25.6,2.16,High Population
159,Belarus,2015,Europe,73.62439024,9461076,5.79426692,6.06533337,62.23036091,0.0,96.47706709,26.1,2.0,High Population
160,Belgium,2000,Europe,77.72195122,10251250,11.43958054,7.9991765,29.43169169,0.0,100.0000036,18.6,6.14678,High Population
161,Belgium,2001,Europe,77.97317073,10286570,11.50432068,8.14988804,31.28839551,0.0,99.99999586,19.0,6.07269,High Population
162,Belgium,2002,Europe,78.07560976,10332785,10.72798848,8.3182106,46.33,0.0,99.99999971,19.4,6.07494,High Population
163,Belgium,2003,Europe,78.12926829,10376133,11.13131453,9.20823288,49.97,0.0,100.0000012,19.7,6.125,High Population
164,Belgium,2004,Europe,78.87804878,10421137,10.94122423,9.36721516,53.86,0.0,100.0000032,20.1,5.92835,High Population
165,Belgium,2005,Europe,78.9804878,10478617,10.55578237,9.26114464,55.82,0.0,100.0000006,20.5,6.05073,High Population
166,Belgium,2006,Europe,79.3804878,10547958,10.30057207,9.16102505,59.72,0.0,100.0000006,20.8,5.59583,High Population
167,Belgium,2007,Europe,79.78292683,10625700,9.843115874,9.16611385,64.44,0.0,99.99999572,21.1,5.21181,High Population
168,Belgium,2008,Europe,79.6804878,10709973,9.984152183,9.63002014,66.0,0.0,99.99999802,21.5,5.03741,High Population
169,Belgium,2009,Europe,80.03414634,10796493,9.231701273,10.35455036,70.0,0.0,100.0000017,21.8,4.9406,High Population
170,Belgium,2010,Europe,80.18292683,10895586,9.794792242,10.23324585,75.0,0.0,99.99999861,22.2,5.03,High Population
171,Belgium,2011,Europe,80.58536585,11038264,8.740505152,10.39208412,81.609996,0.0,100.0000029,22.5,4.89,High Population
172,Belgium,2012,Europe,80.38536585,11106932,8.577525877,10.50650597,80.71999055,0.0,99.99999711,22.9,4.78,High Population
173,Belgium,2013,Europe,80.58780488,11159407,8.655477512,10.56133938,82.1702,0.0,99.9999974,23.3,4.6,High Population
174,Belgium,2014,Europe,81.28780488,11209057,8.041711215,10.59411144,85.0,0.0,99.99999728,23.7,4.72,High Population
175,Belgium,2015,Europe,80.99268293,11274196,8.437851999,10.43065357,85.05294175,0.0,99.9999977,24.1,4.6,High Population
176,Benin,2000,Africa,55.391,6865946,0.206817822,3.10270309,0.225247851,67.49871343,62.21775574,4.2,0.54424,High Population
177,Benin,2001,Africa,55.668,7076728,0.245876343,3.24910021,0.36341789,66.74115385,62.385879,4.4,0.66626,High Population
178,Benin,2002,Africa,56.025,7295400,0.298818443,3.04335403,0.702945595,65.95322212,62.56639848,4.6,0.74333,High Population
179,Benin,2003,Africa,56.436,7520556,0.324444105,3.0376544,0.951327115,65.11419981,62.76878216,4.8,0.71192,High Population
180,Benin,2004,Africa,56.887,7750003,0.341935364,3.0760572,1.182540965,64.27943942,62.96612496,5.0,0.54301,High Population
181,Benin,2005,Africa,57.355,7982223,0.363307326,2.93478322,1.271031439,63.44993965,63.15796463,5.2,0.52085,High Population
182,Benin,2006,Africa,57.817,8216893,0.422300744,2.97331023,1.537854346,62.62524887,63.34453519,5.4,0.54146,High Population
183,Benin,2007,Africa,58.255,8454790,0.473104595,2.8938241,1.79,61.80493907,63.52604541,5.6,0.56355,High Population
184,Benin,2008,Africa,58.654,8696915,0.46223287,2.69675088,1.85,60.98952147,63.70227689,5.9,0.64038,High Population
185,Benin,2009,Africa,59.009,8944713,0.494146663,2.82528329,2.24,60.17993326,63.87282084,6.1,0.64,High Population
186,Benin,2010,Africa,59.318,9199254,0.525042566,2.99710441,3.13,59.37528178,64.03810265,6.4,0.7,High Population
187,Benin,2011,Africa,59.59,9460829,0.491500279,3.09628272,4.148323066,58.57560055,64.19812277,6.7,0.82,High Population
188,Benin,2012,Africa,59.842,9729254,0.456355652,3.41449857,4.5,57.78092365,64.35288158,7.0,0.94,High Population
189,Benin,2013,Africa,60.092,10004594,0.467785082,2.85861206,4.9,56.99214409,64.50201104,7.3,0.92,High Population
190,Benin,2014,Africa,60.345,10286839,0.50452817,2.66743827,6.0,56.20629605,64.64679742,7.6,1.04,High Population
191,Benin,2015,Africa,60.608,10575962,0.520992816,2.90741682,11.25498791,55.42433382,64.7868223,7.9,1.03,High Population
192,Bolivia,2000,South America,62.452,8418270,0.975259762,4.39554119,1.442763585,33.19122416,79.98631039,11.8,1.6748,High Population
193,Bolivia,2001,South America,63.054,8580244,0.938201757,4.82522202,2.120462534,31.91312964,80.77731881,12.2,1.54485,High Population
194,Bolivia,2002,South America,63.64,8742822,0.949350243,4.89645052,3.117192947,30.66237324,81.54188419,12.6,1.57753,High Population
195,Bolivia,2003,South America,64.21,8905820,1.019557988,5.19709635,3.508596401,29.42432434,82.2924509,13.0,1.69126,High Population
196,Bolivia,2004,South America,64.766,9069044,1.046416775,4.86315727,4.439924601,28.19422527,83.03298988,13.4,1.99114,High Population
197,Bolivia,2005,South America,65.312,9232301,1.088569382,5.07408142,5.227583957,26.97290818,83.76284924,13.8,2.13138,High Population
198,Bolivia,2006,South America,65.853,9395449,1.195259486,4.6608758,6.200671255,25.75898878,84.48315277,14.2,2.34478,High Population
199,Bolivia,2007,South America,66.395,9558438,1.26380481,4.6968894,10.49924432,24.55371554,85.1929341,14.6,2.54528,High Population
200,Bolivia,2008,South America,66.937,9721457,1.348563251,4.60677242,12.5,23.35574551,85.89324953,15.0,2.78687,High Population
201,Bolivia,2009,South America,67.476,9884790,1.416317393,5.17444515,16.8,22.1662899,86.58319782,15.5,2.94352,High Population
202,Bolivia,2010,South America,68.007,10048597,1.509663496,5.20230532,22.4,20.98484884,87.26318343,15.9,2.63,High Population
203,Bolivia,2011,South America,68.521,10212951,1.626366425,5.17306805,30.0,19.81096601,87.93356681,16.3,2.52,High Population
204,Bolivia,2012,South America,69.01,10377677,1.678603032,5.2539444,35.34,18.64497617,88.59412659,16.8,2.44,High Population
205,Bolivia,2013,South America,69.468,10542375,1.777588045,5.57465124,36.99,17.50734346,89.23058742,17.3,2.38,High Population
206,Bolivia,2014,South America,69.891,10706517,1.90631555,5.89613628,34.6,16.38894504,89.85011389,17.7,2.4,High Population
207,Bolivia,2015,South America,70.277,10869732,1.909890716,6.55064964,37.49,15.27655332,90.46214101,18.2,2.36,High Population
208,Botswana,2000,Africa,50.629,1643333,2.452333155,5.82726383,2.902666622,21.71463523,75.19896513,10.9,2.30919,High Population
209,Botswana,2001,Africa,50.281,1674674,2.310897524,6.15671635,3.430886787,21.05213451,75.54351833,11.2,2.70781,High Population
210,Botswana,2002,Africa,50.232,1704637,2.36413982,6.42154074,3.385922351,20.52247697,75.75011146,11.6,2.6215,High Population
211,Botswana,2003,Africa,50.518,1734387,2.260164586,6.1761694,3.345190174,20.01521091,75.93520413,11.9,2.50532,High Population
212,Botswana,2004,Africa,51.15,1765533,2.248612758,5.79530382,3.304889253,19.51171614,76.11861487,12.2,2.47809,High Population
213,Botswana,2005,Africa,52.13,1799077,2.378997792,5.02535105,3.262554036,19.01308844,76.29914683,12.5,2.58297,High Population
214,Botswana,2006,Africa,53.435,1835911,2.22777692,4.77373314,4.289932975,18.51821018,77.40119239,12.8,2.65414,High Population
215,Botswana,2007,Africa,54.983,1875458,2.303437439,5.33311653,5.28,17.64620884,78.88605385,13.1,2.64552,High Population
216,Botswana,2008,Africa,56.679,1915636,2.291667032,5.7820034,6.25,16.7909858,80.32351749,13.4,2.17467,High Population
217,Botswana,2009,Africa,58.447,1953495,2.144873704,6.5250082,6.15,15.95621036,81.71011454,13.7,2.28086,High Population
218,Botswana,2010,Africa,60.211,1987106,1.695933627,6.19402504,6.0,15.13988449,83.04816923,14.1,2.48,High Population
219,Botswana,2011,Africa,61.91,2015406,1.925170469,5.77690315,9.0,14.3431417,84.33697326,14.4,2.39,High Population
